,Population 2021,,,,
,,,,,
,,,,,
,Ranking,,Economy,(thousands),
,,,,,
CHN,1,,China," 1,412,360 ",
IND,2,,India," 1,407,564 ",
USA,3,,United States," 331,894 ",
IDN,4,,Indonesia," 273,753 ",
PAK,5,,Pakistan," 231,402 ",
BRA,6,,Brazil," 214,326 ",
NGA,7,,Nigeria," 213,401 ",
BGD,8,,Bangladesh," 169,356 ",
RUS,9,,Russian Federation," 143,449 ",
MEX,10,,Mexico," 126,705 ",
JPN,11,,Japan," 125,682 ",
ETH,12,,Ethiopia," 120,283 ",
PHL,13,,Philippines," 113,880 ",
EGY,14,,"Egypt, Arab Rep."," 109,262 ",
VNM,15,,Vietnam," 97,468 ",
COD,16,,"Congo, Dem. Rep."," 95,894 ",
IRN,17,,"Iran, Islamic Rep."," 87,923 ",
TUR,18,,Türkiye," 84,775 ",
DEU,19,,Germany," 83,196 ",
THA,20,,Thailand," 71,601 ",
FRA,21,,France," 67,750 ",
GBR,22,,United Kingdom," 67,327 ",
TZA,23,,Tanzania," 63,588 ",
ZAF,24,,South Africa," 59,392 ",
ITA,25,,Italy," 59,110 ",
MMR,26,,Myanmar," 53,798 ",
KEN,27,,Kenya," 53,006 ",
KOR,28,,"Korea, Rep."," 51,745 ",
COL,29,,Colombia," 51,517 ",
ESP,30,,Spain," 47,416 ",
UGA,31,,Uganda," 45,854 ",
ARG,32,,Argentina," 45,809 ",
SDN,33,,Sudan," 45,657 ",
DZA,34,,Algeria," 44,178 ",
UKR,35,,Ukraine," 43,793 ",
IRQ,36,,Iraq," 43,534 ",
AFG,37,,Afghanistan," 40,099 ",
CAN,38,,Canada," 38,246 ",
POL,39,,Poland," 37,747 ",
MAR,40,,Morocco," 37,077 ",
SAU,41,,Saudi Arabia," 35,950 ",
UZB,42,,Uzbekistan," 34,915 ",
AGO,43,,Angola," 34,504 ",
PER,44,,Peru," 33,715 ",
MYS,45,,Malaysia," 33,574 ",
YEM,46,,"Yemen, Rep."," 32,982 ",
GHA,47,,Ghana," 32,833 ",
MOZ,48,,Mozambique," 32,077 ",
NPL,49,,Nepal," 30,035 ",
MDG,50,,Madagascar," 28,916 ",
VEN,51,,"Venezuela, RB"," 28,200 ",
CIV,52,,Côte d'Ivoire," 27,478 ",
CMR,53,,Cameroon," 27,199 ",
PRK,54,,"Korea, Dem. People's Rep."," 25,972 ",
AUS,55,,Australia," 25,688 ",
NER,56,,Niger," 25,253 ",
LKA,57,,Sri Lanka," 22,156 ",
BFA,58,,Burkina Faso," 22,101 ",
MLI,59,,Mali," 21,905 ",
SYR,60,,Syrian Arab Republic," 21,324 ",
MWI,61,,Malawi," 19,890 ",
CHL,62,,Chile," 19,493 ",
ZMB,63,,Zambia," 19,473 ",
ROU,64,,Romania," 19,120 ",
KAZ,65,,Kazakhstan," 19,001 ",
ECU,66,,Ecuador," 17,798 ",
NLD,67,,Netherlands," 17,533 ",
TCD,68,,Chad," 17,180 ",
GTM,69,,Guatemala," 17,110 ",
SOM,70,,Somalia," 17,066 ",
SEN,71,,Senegal," 16,877 ",
KHM,72,,Cambodia," 16,589 ",
ZWE,73,,Zimbabwe," 15,994 ",
